Fly_Genesymbol	gut_control_1	gut_control_2	gut_control_3	gut_CG6295 RNAi-1_1	gut_CG6295 RNAi-1_2	gut_CG6295 RNAi-1_3		Rat_Genesymbol	IEC-6 cells_control_1	IEC-6 cells_control_2	IEC-6 cells_control_3	IEC-6 cells_ Liph_sh1_1	IEC-6 cells_ Liph_sh1_2	IEC-6 cells_ Liph_sh1_3	IEC-6 cells_ Liph_sh2_1	IEC-6 cells_ Liph_sh2_2	IEC-6 cells_ Liph_sh2_3
128up	26.19295998	26.72251459	30.46381763	39.05706111	32.97420693	34.0628859		A1bg	0.013243929	0.012522933	0	0	0	0	0.012233675	0	0
14-3-3epsilon	172.5767278	150.3425841	160.9508252	195.9234124	227.4323479	213.2343858		A1cf	0	0	0	0	0.018751083	0	0	0	0
14-3-3zeta	227.2437415	235.7444409	248.4426633	260.9065183	276.4047316	270.4386427		A2m	0.0367613	0.056485037	0.026972067	0.004791089	0.105680119	0.004392016	0.178274916	0.20003143	0.173981737
140up	8.051188715	8.571733408	7.77548598	9.385270469	11.47388014	9.742013895		A2ml1	0	0	0	0	0.006786607	0.00620506	0	0.006012879	0
18w	3.261093519	2.749274302	2.952279226	2.798462253	3.131933348	3.638110354		A3galt2	26.5141471	26.46750022	22.48763462	18.76503992	17.75846738	18.26813209	37.4962864	39.11825426	37.25302098
26-29-p	101.3511531	72.26853941	64.67633241	111.8101948	85.05810453	103.9273344		A4galt	0	0	0	0	0	0	0	0	0
2mit	0	0	0	0.006604278	0	0		A4gnt	0	0	0	0	0	0	0.015951477	0	0.016345704
312	3.1961313	2.957665329	2.503524275	3.162277631	3.669797882	3.017696083		Aaas	38.66065347	35.93784562	37.30031273	19.56011186	28.32045809	31.73500214	17.14662211	17.43183021	14.82186517
4E-T	18.18870968	16.70589942	16.90835843	17.80585151	18.49623052	19.07168974		Aacs	5.995249914	5.693769782	5.392725843	4.713322547	3.275854077	2.54209797	6.737948604	6.983598514	7.361445699
5-HT1A	0.104886208	0.076716563	0.072358321	0.046870767	0.028576111	0.027795134		Aadac	0.054924063	0.017311337	0	0.057265888	0.191386433	0.297477	0.0676459	0.050870051	0.051988281
5-HT2A	1.488204938	1.052328614	1.445849497	1.114258257	1.765620188	1.196483427		Aadacl4	0	0	0	0	0	0	0	0	0
5-HT2B	0.058675719	0.056456268	0.026466961	0.060361932	0.040764614	0.083706673		Aadat	0.016648256	0.015741929	0.032573231	0.086790479	0.121825029	0.36598193	0	0.015419428	0.031516758
5-HT7	0.814534336	0.717306707	0.716144883	0.648940965	0.799283893	0.814756801		Aagab	18.1017743	19.19329805	19.36550168	24.08865943	21.4129128	20.53922917	13.34743359	12.81935708	12.39975333
5PtaseI	2.83209522	2.365929086	2.259829533	3.230793591	3.281467381	2.922294675		Aak1	4.793375892	6.588115946	6.07296606	10.32908069	8.415955913	9.232675132	5.748104951	4.429173813	6.667609329
7B2	10.00734057	8.385026811	10.36644942	10.1433769	6.571494942	9.891644254		Aamdc	2.81525624	1.950065629	1.601222165	6.075371294	3.387851901	5.694478192	3.144799054	3.547356634	2.571818844
825-Oak	0	0.053507564	0	0.057209236	0	0		Aamp	72.05916234	62.46869918	55.43846124	82.87046115	55.16079866	82.76646128	69.39199913	74.46061177	67.95656473
A16	12.69474513	9.825336248	10.75715352	13.60490908	12.47343485	12.96997066		Aanat	0	0	0	0	0	0	0	0	0.014168443
AANATL2	4.625643053	3.76595561	4.057077685	20.92552423	22.43595858	17.94446949		Aar2	8.510384859	8.523064143	8.333213459	8.290990912	6.898483728	8.074010101	9.554055827	9.135219526	9.120125853
ABCB7	38.93624313	41.00868089	45.76880595	41.91603697	36.15129753	35.17346464		Aard	0	0	0	0	0	0	0	0	0.022878738
ACC	22.29477986	17.79027658	17.8423589	18.8231825	21.56335256	25.091294		Aars1	106.5474342	103.5219099	122.0690748	162.421988	149.2373702	158.0051992	87.27720865	94.86876484	87.89182245
ACXB	0	0	0	0	0.008064296	0		Aars2	4.02071405	4.75228415	4.568765766	4.36144553	3.62115906	4.493311122	3.09977132	3.129542063	3.293480988
ACXC	0	0	0	0	0	0.007828495		Aarsd1	15.88103398	14.46635724	15.26037704	7.952087952	11.4699859	11.73827518	8.522990308	10.1117981	7.37410802
ACXD	29.3117772	34.18826697	37.14155678	37.80305165	29.3185779	30.46860096		Aasdh	2.033762675	2.358577977	2.121299125	3.073583743	2.392713181	2.824343392	1.243689762	1.292957097	1.36162406
ADD1	3.653699903	3.124720332	3.391243509	4.784954514	3.72854614	4.399908489		Aasdhppt	43.9298325	34.0082874	32.06878485	38.73771208	33.35994339	39.24761448	24.10120961	29.47617805	21.2705388
ADPS	10.0710782	11.45469117	10.69005048	8.962578681	11.71443542	9.280589662		Aass	9.26059833	10.05954661	8.604317348	3.020187263	3.330910448	3.406243485	10.19205944	10.00792756	10.70982337
AGBE	17.57680171	13.89357776	12.18735753	11.90405441	13.83585891	16.91828775		Aatf	4.896948827	4.660765823	5.738803688	7.174861438	5.594535451	5.040496489	4.183939136	4.75674288	4.122109284
AGO1	26.52955487	25.7187552	27.19681553	27.3487929	30.24056294	28.26813708		Aatk	0	0	0	0.003224563	0	0	0.002856785	0	0
AGO2	49.36344729	49.28485662	43.15095406	49.09676178	64.07680289	61.08676574		Abat	0.017760976	0.022392097	0.028958608	0.01851826	0.012377853	0.062244548	0.060155915	0.060316727	0.033623245
AGO3	0.859614428	0.346227447	0.198382605	2.980420209	0.60184168	1.774192669		Abca1	4.496789621	6.569766385	4.306229118	19.62099762	9.413641896	27.91632647	11.4408115	9.110499842	13.28397933
AIF	17.07119353	15.38250398	15.54067374	23.73665284	21.28590695	24.58212262		Abca12	0.008336417	0.007882584	0.016310659	0.005794574	0.017429268	0	0.017967857	0.002573699	0.005260548
AIMP2	27.70793708	28.19643903	26.91561093	36.66743881	38.91141961	39.424981		Abca13	0	0	0	0	0	0	0	0	0
AIMP3	27.4043792	28.8426768	29.18335269	29.80345714	36.21491939	34.31906226		Abca14	0	0	0	0	0	0	0.003853633	0	0
ALiX	68.65653532	65.75206335	80.25286049	100.0419013	139.3866162	113.6483068		Abca16	0.015449741	0.063304195	0.030228271	0.080542396	0.263794518	0.073833638	0.071356129	0.062007298	0.04387178
AMPKalpha	74.2622249	67.71128107	74.11379561	82.05312336	81.09736876	77.47276107		Abca17	0	0	0	0.046637153	0	0.012825757	0	0.008285681	0.004233909
AMPdeam	35.32588966	32.11839459	31.40810897	33.1066539	36.33365329	41.29873028		Abca2	14.71562737	17.66610548	15.31971462	14.05014344	15.3297478	18.96093009	25.24735156	23.86602369	31.04288906
AOX1	348.3687425	313.2454042	292.3686508	481.3802132	687.482984	605.8053885		Abca3	10.5823834	12.2991824	10.91635972	12.66859679	10.03658501	13.74248702	22.81668497	21.1415346	26.8898779
AOX2	0.141111389	0.146217885	0.155592231	0.275444366	0.305001877	0.501507256		Abca4	0.029505509	0.031884841	0.024741067	0.035158343	0.070500922	0.024172379	0.073977348	0.081983014	0.099744254
AOX3	73.40366469	65.17014876	64.4080584	65.95943974	114.1854797	87.6837211		Abca5	0.372817884	0.716059836	0.621162703	1.03252132	0.529792443	0.818459445	0.408950212	0.345299738	0.551390864
AOX4	0	0.007177163	0	0	0.007485569	0.007280991		Abca7	3.90256736	4.290063985	3.362890027	3.778970189	2.775779892	5.752901156	5.306957489	5.618999608	6.433593591
AP-1-2beta	30.6495424	30.5019637	28.965732	33.60503825	40.39673105	36.33667203		Abca8	0	0.010118013	0	0	0	0.005113746	0	0	0.005064293
AP-1gamma	36.6086147	36.22459039	36.4498713	40.75319419	43.44944542	43.01476961		Abca9	0.199627568	0.313533377	0.281351698	0.162278013	0.307721259	0.423645764	0.300040458	0.250702119	0.307455694
AP-1mu	40.81174556	41.70096001	38.42576008	41.90499912	51.27288035	50.47572628		Abcb10	5.181696511	5.631647918	5.361587887	5.090940876	4.775746661	5.245674842	6.230860549	4.927019257	5.949520052
AP-1sigma	36.39205773	34.58902195	34.45792624	37.69309278	45.06584464	42.26427419		Abcb11	0.076926423	0.098716626	0.075255397	0.126038588	0.057440373	0.021007316	0.19794849	0.132318438	0.176835406
AP-2alpha	16.13771642	13.60467158	11.94958319	15.87368412	16.32060537	16.83093622		Abcb1a	2.517041536	3.254531299	3.951237437	11.91338245	4.026405997	9.908400567	2.303411911	2.222825118	2.49885624
